Date,Open,High,Low,Close,Adj Close,Volume
2015-11-06,93.709999,94.070000,91.760002,94.029999,76.002151,9634200
2015-11-09,93.480003,94.449997,92.099998,92.320000,74.619980,7659100
2015-11-10,92.099998,93.500000,91.839996,93.230003,75.355507,6823100
2015-11-11,93.389999,93.709999,91.860001,92.190002,74.514915,6085300
2015-11-12,90.750000,91.150002,89.250000,89.860001,72.631615,8951300
2015-11-13,89.570000,89.970001,88.190002,88.680000,71.677872,7676600
2015-11-16,87.790001,91.470001,87.790001,91.449997,74.819534,10101100
2015-11-17,91.269997,92.500000,90.699997,91.029999,74.475914,7575800
2015-11-18,91.440002,92.750000,91.029999,92.209999,75.441338,6886900
2015-11-19,92.029999,92.370003,90.430000,90.830002,74.312294,6096700
2015-11-20,90.639999,91.309998,88.809998,89.010002,72.823280,8561400
2015-11-23,88.650002,90.440002,88.110001,90.010002,73.641418,6889600
2015-11-24,90.190002,92.300003,89.800003,91.349998,74.737732,8549000
2015-11-25,90.709999,91.320000,90.160004,90.870003,74.345009,5419300
2015-11-27,90.250000,90.839996,90.050003,90.370003,73.935936,2547800
2015-11-30,90.639999,91.959999,90.440002,91.320000,74.713181,12179400
2015-12-01,90.970001,92.650002,90.970001,92.480003,75.662239,6975500
2015-12-02,92.599998,92.690002,90.029999,90.250000,73.837746,11830700
2015-12-03,90.809998,91.419998,88.360001,88.849998,72.692360,10996800
2015-12-04,87.900002,89.820000,86.489998,89.709999,73.395958,13170200
2015-12-07,87.480003,87.940002,84.900002,87.279999,71.407875,15378900
2015-12-08,85.809998,88.000000,84.250000,86.440002,70.720627,13397500
2015-12-09,86.669998,90.139999,86.300003,87.599998,71.669685,14675800
2015-12-10,88.000000,90.459999,87.610001,89.300003,73.060532,14534800
2015-12-11,87.849998,87.910004,86.089996,86.440002,70.720627,13186900
2015-12-14,86.300003,89.589996,85.410004,89.330002,73.085068,12430700
2015-12-15,90.580002,93.400002,90.550003,92.760002,75.891335,19158500
2015-12-16,92.580002,93.820000,90.809998,93.440002,76.447662,16917900
2015-12-17,93.500000,94.000000,90.400002,90.540001,74.075027,14082500
2015-12-18,90.059998,91.269997,89.300003,89.809998,73.477783,20167200
2015-12-21,90.400002,90.699997,88.209999,89.239998,73.011429,12852300
2015-12-22,89.120003,90.790001,88.300003,90.269997,73.854118,9661700
2015-12-23,92.199997,93.849998,91.570000,93.809998,76.750359,11172800
2015-12-24,93.949997,93.949997,92.010002,92.050003,75.310432,4998700
2015-12-28,90.309998,90.720001,89.690002,90.360001,73.927750,6800000
2015-12-29,91.889999,92.580002,91.070000,91.250000,74.655891,6471200
2015-12-30,90.099998,90.980003,89.889999,90.089996,73.706848,5600200
2015-12-31,89.379997,90.860001,89.019997,89.959999,73.600510,6988700
2016-01-04,89.529999,90.110001,87.570000,88.849998,72.692360,11397300
2016-01-05,89.050003,89.650002,87.839996,89.610001,73.314156,7883400
2016-01-06,87.440002,87.779999,85.160004,86.070000,70.417908,14511400
2016-01-07,84.550003,85.750000,82.669998,83.019997,67.922562,15368800
2016-01-08,83.389999,83.839996,81.220001,82.129997,67.194397,11891600
2016-01-11,82.849998,82.970001,79.769997,80.769997,66.081734,14366400
2016-01-12,82.199997,82.400002,79.690002,82.150002,67.210785,13477500
2016-01-13,83.160004,84.250000,80.010002,81.330002,66.539902,15550100
2016-01-14,81.949997,86.169998,80.949997,85.470001,69.927010,16433400
2016-01-15,81.639999,83.809998,80.870003,83.669998,68.454353,17870300
2016-01-19,84.169998,84.750000,80.790001,81.510002,66.687164,13155600
2016-01-20,79.980003,80.309998,75.330002,78.980003,64.617241,26151100
2016-01-21,78.800003,81.650002,78.019997,81.050003,66.310822,16107800
2016-01-22,84.459999,85.190002,81.720001,83.540001,68.347984,15724600
2016-01-25,82.290001,84.290001,80.800003,80.889999,66.179916,12370300
2016-01-26,81.970001,84.500000,81.349998,84.120003,68.822525,12191400
2016-01-27,83.949997,86.099998,82.360001,83.290001,68.143463,12380600
2016-01-28,85.750000,86.690002,83.699997,85.919998,70.295181,13017400
2016-01-29,84.050003,86.709999,82.949997,86.470001,70.745178,20248900
2016-02-01,85.150002,86.089996,84.239998,85.290001,69.779770,10958300
2016-02-02,82.709999,83.040001,80.959999,81.239998,66.466263,13326200
2016-02-03,82.389999,84.629997,79.849998,84.620003,69.231606,13964100
2016-02-04,84.589996,86.190002,83.830002,84.790001,69.370682,12825000
2016-02-05,83.940002,84.290001,82.260002,82.879997,67.808029,15090100
2016-02-08,81.760002,86.699997,81.099998,85.989998,70.352470,17712800
2016-02-09,85.080002,85.790001,82.169998,82.919998,67.840744,12605600
2016-02-10,82.769997,83.900002,81.500000,83.040001,67.938934,12110300
2016-02-11,81.599998,83.660004,80.639999,82.989998,67.898010,12741400
2016-02-12,83.800003,85.580002,83.199997,85.430000,69.894302,9835100
2016-02-16,85.230003,85.389999,83.309998,84.809998,70.267136,10631500
2016-02-17,85.410004,88.660004,85.019997,88.309998,73.166969,12710500
2016-02-18,88.750000,89.250000,86.610001,86.730003,71.857895,9517800
2016-02-19,86.330002,86.540001,84.800003,86.500000,71.667351,9783300
2016-02-22,86.500000,89.839996,86.500000,88.820000,73.589523,10299900
2016-02-23,88.389999,88.480003,84.699997,84.910004,70.349998,10655800
2016-02-24,83.330002,85.489998,82.900002,85.269997,70.648270,9775200
2016-02-25,85.669998,85.709999,83.739998,85.300003,70.673126,9452600
2016-02-26,86.970001,87.099998,84.279999,84.349998,69.886024,9369900
2016-02-29,84.940002,85.199997,83.070000,83.440002,69.132050,11549600
2016-03-01,84.120003,86.529999,83.370003,86.129997,71.360779,11614700
2016-03-02,85.400002,87.180000,84.400002,87.139999,72.197601,9637600
2016-03-03,87.000000,87.570000,86.050003,87.529999,72.520729,8526100
2016-03-04,87.419998,88.620003,86.699997,87.930000,72.852135,9328600
2016-03-07,87.940002,90.760002,87.550003,90.669998,75.122292,12784300
2016-03-08,90.379997,91.080002,88.330002,88.739998,73.523232,10508400
2016-03-09,89.699997,94.639999,89.470001,92.820000,76.903610,19323100
2016-03-10,92.790001,93.949997,92.019997,93.940002,77.831573,12090900
2016-03-11,94.949997,96.139999,93.379997,94.580002,78.361816,14098800
2016-03-14,93.570000,94.830002,93.089996,94.260002,78.096703,6898900
2016-03-15,93.150002,94.400002,92.250000,94.269997,78.104973,7006300
2016-03-16,94.720001,96.139999,93.720001,95.400002,79.041206,9969200
2016-03-17,96.250000,97.739998,95.290001,96.889999,80.275719,10679400
2016-03-18,97.849998,97.910004,95.860001,97.690002,80.938522,14436300
2016-03-21,97.019997,97.540001,95.910004,96.440002,79.902878,8040100
2016-03-22,95.750000,96.910004,95.320000,95.500000,79.124062,7567100
2016-03-23,94.720001,94.809998,93.040001,93.589996,77.541580,10302800
